family,arm,level,sweepId,rootSeed,cellIndex,replicateIndex,runSeed,strategy,status,terminalReason,ticksRun,referenceNodesKnown,referenceNodesGained,referenceNodesGainedFinalQuarter,referenceLibraryDepth,referenceGrimoires,referenceKnowledgeInstances,referenceLivingMages,referencePopulation,referencePopulationChange,referencePeakPopulation
species,all-six,0,integration-r2-species-v1,20260811,0,59,421419651,permit-then-idle,ascended,2,1202,212,211,34,96,599,6721,65,2426,2354,2426
species,all-six,0,integration-r2-species-v1,20260811,0,60,3075855412,passive-control,truncated,0,2400,51,50,0,49,85,2941,70,17772,17700,17772
species,all-six,0,integration-r2-species-v1,20260811,0,61,1435323877,uniform-random-legal,truncated,0,2400,62,61,0,33,124,6208,508,25417,25345,25417
species,all-six,0,integration-r2-species-v1,20260811,0,62,4089759638,permissive-breadth,ascended,2,1202,191,190,27,48,894,4753,61,2322,2250,2322
species,all-six,0,integration-r2-species-v1,20260811,0,63,2449228103,narrow-depth,stagnated,3,525,6,5,0,6,75,120,20,312,240,312
species,all-six,0,integration-r2-species-v1,20260811,0,64,808696568,denial-warden,truncated,0,2400,0,-1,0,0,0,0,70,17649,17577,17649
species,all-six,0,integration-r2-species-v1,20260811,0,65,3463132329,archivist,truncated,0,2400,51,50,0,26,164,6144,2746,13804,13732,13804
species,all-six,0,integration-r2-species-v1,20260811,0,66,1822600794,portal-rush,truncated,0,2400,44,43,-2,22,412,556,11,17595,17523,17595
species,all-six,0,integration-r2-species-v1,20260811,0,67,182069259,worship-maximizer,truncated,0,2400,51,50,0,42,66,2685,67,17618,17546,17618
species,all-six,0,integration-r2-species-v1,20260811,0,68,2836505020,idle-then-declare,truncated,0,2400,51,50,0,36,46,3120,85,18185,18113,18185
species,all-six,0,integration-r2-species-v1,20260811,0,69,1195973485,permit-then-idle,ascended,2,1202,217,216,35,98,307,5282,38,2787,2715,2787
species,all-six,0,integration-r2-species-v1,20260811,0,70,3850409246,passive-control,truncated,0,2400,51,50,0,42,73,2496,70,17998,17926,17998
species,all-six,0,integration-r2-species-v1,20260811,0,71,2209877711,uniform-random-legal,truncated,0,2400,63,62,0,46,267,6232,429,22964,22892,22964
species,all-six,0,integration-r2-species-v1,20260811,0,72,569346176,permissive-breadth,ascended,2,962,191,190,27,92,666,6441,66,1076,1004,1076
species,all-six,0,integration-r2-species-v1,20260811,0,73,3223781937,narrow-depth,stagnated,3,525,6,5,0,6,45,74,15,193,121,193
species,all-six,0,integration-r2-species-v1,20260811,0,74,1583250402,denial-warden,stagnated,3,506,2,1,-3,2,3,3,24,312,240,312
species,all-six,0,integration-r2-species-v1,20260811,0,75,4237686163,archivist,truncated,0,2400,51,50,0,51,477,6144,2526,15436,15364,15436
species,all-six,0,integration-r2-species-v1,20260811,0,76,2597154628,portal-rush,truncated,0,2400,56,55,18,0,264,1108,26,18002,17930,18002
species,all-six,0,integration-r2-species-v1,20260811,0,77,956623093,worship-maximizer,truncated,0,2400,51,50,0,51,90,2720,67,18277,18205,18277
species,all-six,0,integration-r2-species-v1,20260811,0,78,3611058854,idle-then-declare,truncated,0,2400,51,50,0,39,44,2880,66,17971,17899,17971
species,all-six,0,integration-r2-species-v1,20260811,0,79,1970527319,permit-then-idle,ascended,2,962,201,200,31,100,558,4458,63,1140,1068,1140
species,all-six,0,integration-r2-species-v1,20260811,0,80,329995784,passive-control,truncated,0,2400,51,50,0,28,40,2708,73,18599,18527,18599
species,all-six,0,integration-r2-species-v1,20260811,0,81,2984431545,uniform-random-legal,truncated,0,2400,63,62,0,47,523,6220,488,26292,26220,26292
species,all-six,0,integration-r2-species-v1,20260811,0,82,1343900010,permissive-breadth,ascended,2,1202,191,190,31,23,187,3533,24,2428,2356,2428
species,all-six,0,integration-r2-species-v1,20260811,0,83,3998335771,narrow-depth,stagnated,3,525,6,5,0,6,61,108,14,213,141,213
species,all-six,0,integration-r2-species-v1,20260811,0,84,2357804236,denial-warden,truncated,0,2400,0,-1,-2,0,0,0,82,17914,17842,17914
species,all-six,0,integration-r2-species-v1,20260811,0,85,717272701,archivist,truncated,0,2400,51,50,0,10,235,6144,2505,17658,17586,17658
species,all-six,0,integration-r2-species-v1,20260811,0,86,3371708462,portal-rush,truncated,0,2400,61,60,0,0,220,633,16,18058,17986,18058
species,all-six,0,integration-r2-species-v1,20260811,0,87,1731176927,worship-maximizer,truncated,0,2400,51,50,0,32,75,2664,62,17678,17606,17678
species,all-six,0,integration-r2-species-v1,20260811,0,88,90645392,idle-then-declare,truncated,0,2400,51,50,0,46,54,2558,72,18103,18031,18103
species,all-six,0,integration-r2-species-v1,20260811,0,89,2745081153,permit-then-idle,ascended,2,1202,197,196,26,138,527,5231,49,2023,1951,2023
species,all-six,0,integration-r2-species-v1,20260811,0,90,1104549618,passive-control,truncated,0,2400,51,50,0,43,86,2374,64,17301,17229,17301
species,all-six,0,integration-r2-species-v1,20260811,0,91,3758985379,uniform-random-legal,truncated,0,2400,62,61,0,28,135,6248,439,21955,21883,21955
species,all-six,0,integration-r2-species-v1,20260811,0,92,2118453844,permissive-breadth,ascended,2,1202,213,212,30,104,785,6289,67,2391,2319,2391
species,all-six,0,integration-r2-species-v1,20260811,0,93,477922309,narrow-depth,stagnated,3,526,4,3,0,4,93,142,23,266,194,266
species,all-six,0,integration-r2-species-v1,20260811,0,94,3132358070,denial-warden,truncated,0,2400,2,1,-1,2,14,14,72,18537,18465,18537
species,all-six,0,integration-r2-species-v1,20260811,0,95,1491826535,archivist,truncated,0,2400,51,50,0,51,326,6144,2197,13089,13017,13089
species,all-six,0,integration-r2-species-v1,20260811,0,96,4146262296,portal-rush,truncated,0,2400,51,50,19,0,84,1747,40,17699,17627,17699
species,all-six,0,integration-r2-species-v1,20260811,0,97,2505730761,worship-maximizer,truncated,0,2400,51,50,0,45,66,2438,64,17310,17238,17310
species,all-six,0,integration-r2-species-v1,20260811,0,98,865199226,idle-then-declare,truncated,0,2400,51,50,0,49,92,2684,64,17841,17769,17841
species,all-six,0,integration-r2-species-v1,20260811,0,99,3519634987,permit-then-idle,ascended,2,1202,192,191,24,30,273,6303,61,2141,2069,2141
species,draconic,1,integration-r2-species-v1,20260811,0,0,2723499704,passive-control,stagnated,3,2391,48,47,2,0,0,48,5,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,1,1082968169,uniform-random-legal,truncated,0,2400,25,24,1,25,208,268,4,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,2,3737403930,permissive-breadth,truncated,0,2400,141,140,24,0,0,141,5,18,6,18
species,draconic,1,integration-r2-species-v1,20260811,0,3,2096872395,narrow-depth,stagnated,3,511,1,0,0,0,0,1,4,14,2,14
species,draconic,1,integration-r2-species-v1,20260811,0,4,456340860,denial-warden,stagnated,3,537,0,-1,0,0,0,0,4,12,0,12
species,draconic,1,integration-r2-species-v1,20260811,0,5,3110776621,archivist,stagnated,3,949,0,-1,0,0,0,0,4,18,6,18
species,draconic,1,integration-r2-species-v1,20260811,0,6,1470245086,portal-rush,stagnated,3,481,1,0,0,0,0,1,4,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,7,4124680847,worship-maximizer,stagnated,3,481,1,0,0,0,0,1,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,8,2484149312,idle-then-declare,stagnated,3,481,1,0,0,0,0,1,4,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,9,843617777,permit-then-idle,stagnated,3,481,1,0,0,0,0,1,5,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,10,3498053538,passive-control,stagnated,3,481,1,0,0,0,0,1,5,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,11,1857522003,uniform-random-legal,stagnated,3,767,11,10,-1,0,0,28,3,15,3,15
species,draconic,1,integration-r2-species-v1,20260811,0,12,216990468,permissive-breadth,stagnated,3,481,0,-1,0,0,0,0,3,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,13,2871426229,narrow-depth,stagnated,3,492,0,-1,0,0,0,0,5,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,14,1230894694,denial-warden,stagnated,3,562,0,-1,0,0,0,0,5,13,1,13
species,draconic,1,integration-r2-species-v1,20260811,0,15,3885330455,archivist,stagnated,3,481,1,0,0,0,0,1,4,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,16,2244798920,portal-rush,stagnated,3,481,1,0,0,0,0,1,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,17,604267385,worship-maximizer,stagnated,3,1918,46,45,1,0,0,46,4,17,5,18
species,draconic,1,integration-r2-species-v1,20260811,0,18,3258703146,idle-then-declare,stagnated,3,481,1,0,0,0,0,1,4,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,19,1618171611,permit-then-idle,truncated,0,2400,139,138,23,0,0,171,5,17,5,17
species,draconic,1,integration-r2-species-v1,20260811,0,20,4272607372,passive-control,stagnated,3,2395,48,47,2,0,0,48,4,24,12,24
species,draconic,1,integration-r2-species-v1,20260811,0,21,2632075837,uniform-random-legal,stagnated,3,746,17,16,0,14,105,124,4,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,22,991544302,permissive-breadth,stagnated,3,481,1,0,0,0,0,1,4,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,23,3645980063,narrow-depth,stagnated,3,492,0,-1,0,0,0,0,5,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,24,2005448528,denial-warden,stagnated,3,492,0,-1,0,0,0,0,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,25,364916993,archivist,stagnated,3,481,1,0,0,0,0,1,4,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,26,3019352754,portal-rush,stagnated,3,481,1,0,0,0,0,1,5,12,0,12
species,draconic,1,integration-r2-species-v1,20260811,0,27,1378821219,worship-maximizer,stagnated,3,481,1,0,0,0,0,1,5,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,28,4033256980,idle-then-declare,stagnated,3,2390,48,47,2,0,0,48,4,25,13,25
species,draconic,1,integration-r2-species-v1,20260811,0,29,2392725445,permit-then-idle,truncated,0,2400,141,140,24,0,0,141,4,22,10,23
species,draconic,1,integration-r2-species-v1,20260811,0,30,752193910,passive-control,stagnated,3,481,1,0,0,0,0,1,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,31,3406629671,uniform-random-legal,stagnated,3,1147,22,21,0,0,0,22,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,32,1766098136,permissive-breadth,truncated,0,2400,141,140,24,0,0,141,5,12,0,12
species,draconic,1,integration-r2-species-v1,20260811,0,33,125566601,narrow-depth,stagnated,3,492,0,-1,0,0,0,0,4,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,34,2780002362,denial-warden,stagnated,3,492,0,-1,0,0,0,0,5,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,35,1139470827,archivist,stagnated,3,705,14,13,0,0,0,14,4,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,36,3793906588,portal-rush,stagnated,3,481,1,0,0,0,0,1,5,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,37,2153375053,worship-maximizer,stagnated,3,2022,48,47,1,0,0,48,5,17,5,17
species,draconic,1,integration-r2-species-v1,20260811,0,38,512843518,idle-then-declare,stagnated,3,2303,47,46,1,0,0,47,4,19,7,19
species,draconic,1,integration-r2-species-v1,20260811,0,39,3167279279,permit-then-idle,truncated,0,2400,135,134,24,0,0,277,3,17,5,17
species,draconic,1,integration-r2-species-v1,20260811,0,40,1526747744,passive-control,stagnated,3,2393,48,47,2,48,288,336,4,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,41,4181183505,uniform-random-legal,stagnated,3,698,12,11,0,0,0,12,5,14,2,14
species,draconic,1,integration-r2-species-v1,20260811,0,42,2540651970,permissive-breadth,truncated,0,2400,142,141,25,0,0,142,4,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,43,900120435,narrow-depth,stagnated,3,532,2,1,0,0,0,2,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,44,3554556196,denial-warden,stagnated,3,481,0,-1,0,0,0,0,5,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,45,1914024661,archivist,stagnated,3,481,1,0,0,0,0,1,5,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,46,273493126,portal-rush,stagnated,3,481,1,0,0,0,0,1,4,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,47,2927928887,worship-maximizer,stagnated,3,481,1,0,0,0,0,1,4,13,1,13
species,draconic,1,integration-r2-species-v1,20260811,0,48,1287397352,idle-then-declare,stagnated,3,1835,42,41,0,42,376,418,4,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,49,3941833113,permit-then-idle,stagnated,3,481,1,0,0,0,0,1,5,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,50,2301301578,passive-control,stagnated,3,481,1,0,0,0,0,1,4,12,0,12
species,draconic,1,integration-r2-species-v1,20260811,0,51,660770043,uniform-random-legal,stagnated,3,658,12,11,0,0,0,32,3,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,52,3315205804,permissive-breadth,stagnated,3,481,1,0,0,0,0,1,4,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,53,1674674269,narrow-depth,stagnated,3,511,1,0,0,0,0,1,4,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,54,34142734,denial-warden,stagnated,3,481,0,-1,0,0,0,0,5,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,55,2688578495,archivist,stagnated,3,481,1,0,0,0,0,1,4,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,56,1048046960,portal-rush,stagnated,3,481,1,0,0,0,0,1,4,13,1,13
species,draconic,1,integration-r2-species-v1,20260811,0,57,3702482721,worship-maximizer,stagnated,3,481,1,0,0,0,0,1,4,13,1,13
species,draconic,1,integration-r2-species-v1,20260811,0,58,2061951186,idle-then-declare,truncated,0,2400,50,49,4,0,0,50,4,21,9,21
species,draconic,1,integration-r2-species-v1,20260811,0,59,421419651,permit-then-idle,truncated,0,2400,141,140,24,0,0,141,3,13,1,13
species,draconic,1,integration-r2-species-v1,20260811,0,60,3075855412,passive-control,stagnated,3,481,1,0,0,0,0,1,4,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,61,1435323877,uniform-random-legal,stagnated,3,811,12,11,0,0,0,14,3,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,62,4089759638,permissive-breadth,stagnated,3,1154,0,-1,0,0,0,0,3,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,63,2449228103,narrow-depth,stagnated,3,481,0,-1,0,0,0,0,4,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,64,808696568,denial-warden,stagnated,3,492,0,-1,0,0,0,0,4,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,65,3463132329,archivist,stagnated,3,481,1,0,0,0,0,1,4,13,1,13
species,draconic,1,integration-r2-species-v1,20260811,0,66,1822600794,portal-rush,stagnated,3,481,1,0,0,0,0,1,4,7,-5,12
species,draconic,1,integration-r2-species-v1,20260811,0,67,182069259,worship-maximizer,stagnated,3,1912,46,45,1,0,0,46,4,14,2,14
species,draconic,1,integration-r2-species-v1,20260811,0,68,2836505020,idle-then-declare,stagnated,3,481,1,0,0,0,0,1,5,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,69,1195973485,permit-then-idle,truncated,0,2400,139,138,24,0,0,184,4,16,4,16
species,draconic,1,integration-r2-species-v1,20260811,0,70,3850409246,passive-control,truncated,0,2400,50,49,4,0,0,50,4,18,6,20
species,draconic,1,integration-r2-species-v1,20260811,0,71,2209877711,uniform-random-legal,stagnated,3,629,13,12,0,0,0,48,4,14,2,14
species,draconic,1,integration-r2-species-v1,20260811,0,72,569346176,permissive-breadth,truncated,0,2400,141,140,24,0,0,141,5,13,1,13
species,draconic,1,integration-r2-species-v1,20260811,0,73,3223781937,narrow-depth,stagnated,3,481,0,-1,0,0,0,0,5,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,74,1583250402,denial-warden,stagnated,3,537,0,-1,0,0,0,0,5,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,75,4237686163,archivist,stagnated,3,481,1,0,0,0,0,5,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,76,2597154628,portal-rush,stagnated,3,481,1,0,0,0,0,1,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,77,956623093,worship-maximizer,stagnated,3,1508,0,-1,0,0,0,0,3,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,78,3611058854,idle-then-declare,stagnated,3,2387,48,47,2,48,318,366,4,12,0,12
species,draconic,1,integration-r2-species-v1,20260811,0,79,1970527319,permit-then-idle,stagnated,3,1323,73,72,0,73,443,534,4,14,2,14
species,draconic,1,integration-r2-species-v1,20260811,0,80,329995784,passive-control,stagnated,3,481,1,0,0,0,0,1,5,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,81,2984431545,uniform-random-legal,stagnated,3,672,15,14,0,9,36,55,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,82,1343900010,permissive-breadth,truncated,0,2400,140,139,23,0,0,140,5,21,9,21
species,draconic,1,integration-r2-species-v1,20260811,0,83,3998335771,narrow-depth,stagnated,3,511,1,0,0,0,0,1,4,12,0,12
species,draconic,1,integration-r2-species-v1,20260811,0,84,2357804236,denial-warden,stagnated,3,537,0,-1,0,0,0,0,4,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,85,717272701,archivist,stagnated,3,995,15,14,0,0,0,15,5,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,86,3371708462,portal-rush,stagnated,3,481,1,0,0,0,0,1,4,13,1,13
species,draconic,1,integration-r2-species-v1,20260811,0,87,1731176927,worship-maximizer,stagnated,3,481,1,0,0,0,0,1,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,88,90645392,idle-then-declare,stagnated,3,481,1,0,0,0,0,1,2,11,-1,12
species,draconic,1,integration-r2-species-v1,20260811,0,89,2745081153,permit-then-idle,truncated,0,2400,139,138,24,0,0,205,4,21,9,21
species,draconic,1,integration-r2-species-v1,20260811,0,90,1104549618,passive-control,truncated,0,2400,51,50,5,0,0,51,4,14,2,15
species,draconic,1,integration-r2-species-v1,20260811,0,91,3758985379,uniform-random-legal,stagnated,3,640,12,11,0,0,0,48,4,8,-4,12
species,draconic,1,integration-r2-species-v1,20260811,0,92,2118453844,permissive-breadth,truncated,0,2400,139,138,24,0,0,200,4,9,-3,12
species,draconic,1,integration-r2-species-v1,20260811,0,93,477922309,narrow-depth,stagnated,3,492,0,-1,0,0,0,0,5,10,-2,12
species,draconic,1,integration-r2-species-v1,20260811,0,94,3132358070,denial-warden,stagnated,3,492,0,-1,0,0,0,0,4,9,-3,12
